clean_text,category
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,negative
what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,positive
asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,positive
answer who among these the most powerful world leader today trump putin modi may ,positive
with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,positive
gandhi was gay does modi  ,positive
things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,positive
hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,positive
calm waters wheres the modi wave ,positive
vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party ,negative
didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,negative
was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,positive
with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today ,negative
sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,negative
thiugh nehru not alive but still alive heart modi for every failure nehru responsible ,negative
the three codes modi cracked give india huge foreign policy jumpstart via ,positive
being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,positive
how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet ,negative
check out latest article premier archery league via ,positive
india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,positive
people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote ,negative
modi for eternal what wrong dear sirji perfectly fine with indian people,negative
